date,date_id,year,quarter,month,month_name,year_month,day,weekday,weekday_name,is_weekend,is_complete_month
2016-04-19,20160419,2016,2,4,Apr,2016-04,19,2,Tue,False,False
2016-04-20,20160420,2016,2,4,Apr,2016-04,20,3,Wed,False,False
2016-04-21,20160421,2016,2,4,Apr,2016-04,21,4,Thu,False,False
2016-04-22,20160422,2016,2,4,Apr,2016-04,22,5,Fri,False,False
2016-04-23,20160423,2016,2,4,Apr,2016-04,23,6,Sat,True,False
2016-04-24,20160424,2016,2,4,Apr,2016-04,24,7,Sun,True,False
2016-04-25,20160425,2016,2,4,Apr,2016-04,25,1,Mon,False,False
2016-04-26,20160426,2016,2,4,Apr,2016-04,26,2,Tue,False,False
2016-04-27,20160427,2016,2,4,Apr,2016-04,27,3,Wed,False,False
2016-04-28,20160428,2016,2,4,Apr,2016-04,28,4,Thu,False,False
2016-04-29,20160429,2016,2,4,Apr,2016-04,29,5,Fri,False,False
2016-04-30,20160430,2016,2,4,Apr,2016-04,30,6,Sat,True,False
2016-05-01,20160501,2016,2,5,May,2016-05,1,7,Sun,True,False
2016-05-02,20160502,2016,2,5,May,2016-05,2,1,Mon,False,False
2016-05-03,20160503,2016,2,5,May,2016-05,3,2,Tue,False,False
2016-05-04,20160504,2016,2,5,May,2016-05,4,3,Wed,False,False
2016-05-05,20160505,2016,2,5,May,2016-05,5,4,Thu,False,False
2016-05-06,20160506,2016,2,5,May,2016-05,6,5,Fri,False,False
2016-05-07,20160507,2016,2,5,May,2016-05,7,6,Sat,True,False
2016-05-08,20160508,2016,2,5,May,2016-05,8,7,Sun,True,False
2016-05-09,20160509,2016,2,5,May,2016-05,9,1,Mon,False,False
2016-05-10,20160510,2016,2,5,May,2016-05,10,2,Tue,False,False
2016-05-11,20160511,2016,2,5,May,2016-05,11,3,Wed,False,False
2016-05-12,20160512,2016,2,5,May,2016-05,12,4,Thu,False,False
2016-05-13,20160513,2016,2,5,May,2016-05,13,5,Fri,False,False
2016-05-14,20160514,2016,2,5,May,2016-05,14,6,Sat,True,False
2016-05-15,20160515,2016,2,5,May,2016-05,15,7,Sun,True,False
2016-05-16,20160516,2016,2,5,May,2016-05,16,1,Mon,False,False
2016-05-17,20160517,2016,2,5,May,2016-05,17,2,Tue,False,False
2016-05-18,20160518,2016,2,5,May,2016-05,18,3,Wed,False,False
2016-05-19,20160519,2016,2,5,May,2016-05,19,4,Thu,False,False
2016-05-20,20160520,2016,2,5,May,2016-05,20,5,Fri,False,False
2016-05-21,20160521,2016,2,5,May,2016-05,21,6,Sat,True,False
2016-05-22,20160522,2016,2,5,May,2016-05,22,7,Sun,True,False
2016-05-23,20160523,2016,2,5,May,2016-05,23,1,Mon,False,False
2016-05-24,20160524,2016,2,5,May,2016-05,24,2,Tue,False,False
2016-05-25,20160525,2016,2,5,May,2016-05,25,3,Wed,False,False
2016-05-26,20160526,2016,2,5,May,2016-05,26,4,Thu,False,False
2016-05-27,20160527,2016,2,5,May,2016-05,27,5,Fri,False,False
2016-05-28,20160528,2016,2,5,May,2016-05,28,6,Sat,True,False
2016-05-29,20160529,2016,2,5,May,2016-05,29,7,Sun,True,False
